Chinese,Trad.,Pinyin,English Definition
使,,shǐ,to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger
最低,,zuì dī,lowest
时候,時候,shí hou,time; length of time; moment; period
完完全全,,wán wán quán quán,completely
下来,下來,xià lai,"to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)"
思想,,sī xiǎng,thought; thinking; idea; ideology; Classifiers: 个
周围,周圍,zhōu wéi,surroundings; environment; to encompass
力场,力場,lì chǎng,force field (physics)
健康,,jiàn kāng,health; healthy
因素,,yīn sù,element; factor; Classifiers: 个
全部,,quán bù,whole; entire; complete
清理,,qīng lǐ,to clear up; to tidy up; to dispose of
话,話,huà,dialect; language; spoken words; speech; talk; words; conversation; what sb said; Classifiers: 种
浑浊,渾濁,hún zhuó,muddy; turbid
身,,shēn,"body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158"
黑乎乎,,hēi hū hū,variant of 黑糊糊
肮脏,骯髒,āng zāng,dirty; filthy
练气,練氣,liàn qì,
需要,,xū yào,to need; to want; to demand; to require; requirement; need
推,,tuī,to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage
过去,過去,guò qù,(in the) past; former; previous; to go over; to pass by
让,讓,ràng,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被 )"
无,無,wú,not to have; no; none; not; to lack; un-; -less
状态,狀態,zhuàng tài,state of affairs; state; mode; situation; Classifiers: 个
同时,同時,tóng shí,at the same time; simultaneously
打,,dǎ,to beat; to strike; to hit; to break; to type; to mix up; to build; to fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to play (a game); since; from
基础,基礎,jī chǔ,base; foundation; basis; underlying; Classifiers: 个
套,,tào,"to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names); tau (Greek letter Ττ)"
现成,現成,xiàn chéng,ready-made; readily available
这样一来,這樣一來,zhè yàng yī lái,thus; if this happens then
说法,說法,shuō fǎ,to expound Buddhist teachings
算,,suàn,to regard as; to figure; to calculate; to compute
三个,三個,sān gè,
共有,,gòng yǒu,to have altogether; in all
两,兩,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
世间,世間,shì jiān,world; earth
出世,,chū shì,to be born; to come into being; to withdraw from worldly affairs
间,間,jiān,between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms
庙,廟,miào,temple; ancestral shrine; Classifiers: 座 ; temple fair
里,裡,lǐ,"lining; interior; inside; internal; also written 里 ; li, ancient measure of length, approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough, administrative unit between the township 镇 levels"
入世,,rù shì,to join the WTO; to enter the world; secular
两回事,兩回事,liǎng huí shì,two quite different things; two unrelated matters
人体,人體,rén tǐ,human body
两,兩,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤  (old)"
变化,變化,biàn huà,change; variation; to change; to vary; Classifiers: 个
在世,,zài shì,to be alive
走,,zǒu,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走 ); to change (shape, form, meaning)"
最高,,zuì gāo,tallest; highest; supreme (court etc)
形式,,xíng shì,outer appearance; form; shape; formality; Classifiers: 个
高能量,,gāo néng liàng,high energy (physics)
代替,,dài tì,to replace; to take the place of
基本,,jī běn,basic; fundamental; main; elementary
新,,xīn,abbr. for Xinjiang 新疆 ; surname Xin; new; newly; meso- (chemistry)
指,,zhǐ,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end
现在,現在,xiàn zài,now; at present; at the moment; modern; current; nowadays
也就是,,yě jiù shì,that is; i.e.
两千,兩千,liǎng qiān,two thousand
几千,幾千,jǐ qiān,several thousand
甚至,,shèn zhì,even; so much so that
于,於,yú,surname Yu; to go; to take; sentence-final interrogative particle; variant of 于 ; surname Yu; in; at; to; from; by; than; out of
更多,,gèng duō,more; even more
上万,上萬,shàng wàn,over ten thousand; fig. untold numbers; innumerable; thousands upon thousands
之后,之後,zhī hòu,afterwards; following; later; after
完整,,wán zhěng,complete; intact
系统,系統,xì tǒng,system; Classifiers: 个
限于,限於,xiàn yú,to be limited to; to be confined to
个,個,gè,individual; this; that; size; classifier for people or objects in general
转变,轉變,zhuǎn biàn,to change; to transform; shift; transformation; Classifiers: 个
过来,過來,guò lái,to come over; to manage; to handle; to be able to take care of
不止,,bù zhǐ,incessantly; without end; more than; not limited to
以后,以後,yǐ hòu,after; later; afterwards; following; later on; in the future
你们,你們,nǐ men,you (plural)
明白,,míng bai,clear; obvious; unequivocal; to understand; to realize
整体,整體,zhěng tǐ,"whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holistic; whole"
调整,調整,tiáo zhěng,to adjust; adjustment; revision; Classifiers: 个
不会,不會,bù huì,"improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; (coll.) (Tw) don't mention it; not at all"
不要,,bù yào,don't!; must not
找,,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change
出山,,chū shān,to leave the mountain (of a hermit); to come out of obscurity to a government job; to take a leading position
首要,,shǒu yào,the most important; of chief importance
不同,,bù tóng,different; distinct; not the same; not alike
初级,初級,chū jí,junior; primary
中级,中級,zhōng jí,middle level (in a hierarchy)
高级,高級,gāo jí,high level; high grade; advanced; high-ranking
分成,,fēn chéng,to divide (into); to split a bonus; to break into; tenths; percentage allotment
广大,廣大,guǎng dà,(of an area) vast or extensive; large-scale; widespread; (of people) numerous
头脑,頭腦,tóu nǎo,brains; mind; skull; (fig.) gist (of a matter); leader; boss
片,,piàn,"thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一 : classifier for scenario, scene, feeling, atmosphere, sound etc"
空白,,kòng bái,blank space
阐述,闡述,chǎn shù,to expound (a position); to elaborate (on a topic); to treat (a subject)
还有,還有,hái yǒu,furthermore; in addition; still; also
想要,,xiǎng yào,to want to; to feel like; to fancy; to care for sb; desirous of
正,,zhèng,straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive
正名,,zhèng míng,to replace the current name or title of sth with a new one that reflects its true nature; rectification of names (a tenet of Confucian philosophy)
讲课,講課,jiǎng kè,teach; lecture
谈到,談到,tán dào,to refer to; to speak about; to talk about
界,,jiè,boundary; scope; extent; circles; group; kingdom (taxonomy)
不良,,bù liáng,bad; harmful; unhealthy
现象,現象,xiàn xiàng,appearance; phenomenon; Classifiers: 个
对待,對待,duì dài,to treat; treatment
看待,,kàn dài,to look upon; to regard
解决,解決,jiě jué,to settle (a dispute); to resolve; to solve; to dispose of; to dispatch
才能,,cái néng,talent; ability; capacity
一下子,,yī xià zi,in a short while; all at once; all of a sudden
容易,,róng yì,easy; likely; liable (to)
听课,聽課,tīng kè,to attend a class; to go to a lecture
希望,,xī wàng,to wish for; to desire; hope; Classifiers: 个
注意,,zhù yì,to take note of; to pay attention to
其他,,qí tā,other; (sth or sb) else; the rest
简单,簡單,jiǎn dān,simple; not complicated
然后,然後,rán hòu,after; then (afterwards); after that; afterwards
接,,jiē,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb
教,,jiāo,to teach
手法,,shǒu fǎ,technique; trick; skill
完,,wán,to finish; to be over; whole; complete; entire
人们,人們,rén men,people
习惯,習慣,xí guàn,habit; custom; usual practice; to be used to; Classifiers: 个
说道,說道,shuō dào,to state; to say (the quoted words)
堂,,táng,"(main) hall; large room for a specific purpose; Classifiers: 间 ; relationship between cousins etc on the paternal side of a family; of the same clan; classifier for classes, lectures etc; classifier for sets of furniture"
课,課,kè,subject; course; Classifiers: 门 ; to levy; tax; form of divination
理都,,lǐ dōu,
不然的话,不然的話,bù rán de huà,otherwise
无法,無法,wú fǎ,unable; incapable
作,,zuò,to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works
指导,指導,zhǐ dǎo,to guide; to give directions; to direct; to coach; guidance; tuition; Classifiers: 个
象,,xiàng,elephant; Classifiers: 只 ; shape; form; appearance; to imitate
上学,上學,shàng xué,to go to school; to attend school
拿,,ná,to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把 : to mark the following noun as a direct object)
小学,小學,xiǎo xué,elementary school; primary school; Classifiers: 个
课本,課本,kè běn,textbook; Classifiers: 本
大学,大學,dà xué,"the Great Learning, one of the Four Books 四书 in Confucianism; university; college; Classifiers: 所"
小,,xiǎo,small; tiny; few; young
学生,學生,xué sheng,student; schoolchild
结业,結業,jié yè,"to finish school, esp. a short course; to complete a course"
证,"証, 證",zhèng,to admonish; variant of 证 ; certificate; proof; to prove; to demonstrate; to confirm; variant of 症
摞,,luò,to pile up; to stack; a pile; a stack
子,,zǐ,"son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位 ; ancient Chinese compass point: 0° (north)"
真谛,真諦,zhēn dì,the real meaning; the true essence
皮毛,,pí máo,fur; fur clothing; skin and hair; superficial; superficial knowledge
博大精深,,bó dà jīng shēn,wide-ranging and profound; broad and deep
而且,,ér qiě,(not only ...) but also; moreover; in addition; furthermore
举,舉,jǔ,to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed
例子,,lì zi,case; (for) instance; example; Classifiers: 个
英国,英國,yīng guó,United Kingdom 联合王国
美国,美國,měi guó,United States; USA; US
日本,,rì běn,Japan; Japanese
中国,中國,zhōng guó,China
可,,kě,can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very
小学生,小學生,xiǎo xué shēng,primary school student; schoolchild; Classifiers: 个
低层,低層,dī céng,low level
功课,功課,gōng kè,homework; assignment; task; classwork; lesson; study; Classifiers: 门
灌,,guàn,to irrigate; to pour; to install (software); to record (music)
满,滿,mǎn,Manchu ethnic group; to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented
反倒,,fǎn dào,but on the contrary; but expectedly
越,,yuè,generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南 ; to exceed; to climb over; to surpass; the more... the more
有害,,yǒu hài,destructive; harmful; damaging
身上,,shēn shang,on the body; at hand; among
乱套,亂套,luàn tào,in a mess; upside down
要强,要強,yào qiáng,eager to excel; eager to get ahead in life; strong-minded
调,調,diào,to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody
寺院,,sì yuàn,cloister; temple; monastery; Classifiers: 座
和尚,,hé shang,Buddhist monk
禅宗,禪宗,chán zōng,Zen Buddhism
想法,,xiǎng fǎ,way of thinking; opinion; notion; to think of a way (to do sth); Classifiers: 个
听说,聽說,tīng shuō,to hear (sth said); one hears (that); hearsay; listening and speaking
爱,愛,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
法可,,fǎ kě,
只能,,zhǐ néng,can only; obliged to do sth; to have no other choice
心领神会,心領神會,xīn lǐng shén huì,to understand tacitly (idiom); to know intuitively; to understand thoroughly
法都,,fǎ dōu,
达摩,達摩,dá mó,"Dharma, the teaching of Buddha; Bodhidharma"
根据,根據,gēn jù,according to; based on; basis; foundation; Classifiers: 个
释迦牟尼,釋迦牟尼,shì jiā móu ní,"Siddhartha Gautama (563-485 BC), the historical Buddha and founder of Buddhism; Sakyamuni Buddha (Sanskrit: sage of the Sakya)"
说,說,shuō,to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说  heliocentric theory)
释迦,釋迦,shì jiā,Sakya (name of a north Indian tribe); abbr. for 释迦牟尼  Sakyamuni Buddha; sugar apple
牟尼讲,牟尼講,móu ní jiǎng,
定,,dìng,to set; to fix; to determine; to decide; to order
句,,jù,sentence; clause; phrase; classifier for phrases or lines of verse
创立,創立,chuàng lì,to establish; to set up; to found
法门,法門,fǎ mén,gate to enlightment (Buddhism); Buddhism; way; method; (old) south gate of a palace
钻牛角尖,鑽牛角尖,zuān niú jiǎo jiān,lit. to penetrate into a bull's horn (idiom); fig. to waste time on an insoluble or insignificant problem; to bash one's head against a brick wall; a wild goose chase; a blind alley; to split hairs
开头,開頭,kāi tóu,beginning; to start
里,裡,lǐ,"lining; interior; inside; internal; also written 里 ; li, ancient measure of length, approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough, administrative unit between the township 镇  levels"
钻,鑽,zuān,to drill; to bore; to get into; to make one's way into; to enter (a hole); to thread one's way through; to study intensively; to dig into; to curry favor for personal gain
挺,,tǐng,straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns
宽敞,寬敞,kuān chang,spacious; wide
二,,èr,two; 2; (Beijing dialect) stupid
祖钻就,祖鑽就,zǔ zuān jiù,
三,,sān,surname San; three; 3
祖还,祖還,zǔ hái,
凑合,湊合,còu he,to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad
事儿,事兒,shì r,"one's employment; business; matter that needs to be settled; (northern dialect) (of a person) demanding; trying; troublesome; erhua variant of 事 ; Classifiers: 件 ,桩"
四,,sì,four; 4
祖就,,zǔ jiù,
窄,,zhǎi,narrow; narrow-minded; badly off
五,,wǔ,five; 5
祖,,zǔ,surname Zu; ancestor; forefather; grandparents
基本上,,jī běn shang,basically; on the whole
啥,,shá,dialectal equivalent of 什么
六,,liù,six; 6
祖慧能,,zǔ huì néng,
这儿,這兒,zhè r,here
顶,頂,dǐng,"apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to ""bump"" a forum thread to raise its profile; classifier for headwear, hats, veils etc"
再也,,zài yě,(not) any more
进去,進去,jìn qù,to go in
别,別,bié,surname Bie; to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in
问,問,wèn,to ask
回头,回頭,huí tóu,to turn round; to turn one's head; later; by and by
照,炤,zhào,variant of 照 ; to shine; to illuminate; according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before
脑袋,腦袋,nǎo dài,head; skull; brains; mental capability; Classifiers: 颗
棒子,,bàng zi,stick; club; cudgel; maize (corn); ear of maize; corncob; (derog.) Korean
棒,,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
喝,,hē,to drink; My goodness!
悟,,wù,to comprehend; to apprehend; to become aware
牛角,,niú jiǎo,cow horn
尖,,jiān,point (of needle); sharp; shrewd; pointed
到头,到頭,dào tóu,to the end (of); at the end of; in the end; to come to an end
达摩都,達摩都,dá mó dōu,
几百,幾百,jǐ bǎi,several hundred
死,,sǐ,to die; impassable; uncrossable; inflexible; rigid; extremely; damned
释迦,釋迦,shì jiā,Sakya (name of a north Indian tribe); abbr. for 释迦牟尼 Sakyamuni Buddha; sugar apple
涵义,涵義,hán yì,content; meaning; connotation; implication
所在,,suǒ zài,place; location; whereabouts; domicile; to be located; to belong to (organization etc)
如来,如來,rú lái,"tathagata (Buddha's name for himself, having many layers of meaning - Sanskrit: thus gone, having been Brahman, gone to the absolute etc)"
包括,,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of
后来,後來,hòu lái,afterwards; later
僧人,,sēng rén,monk
境界,,jìng jiè,boundary; state; realm
心态,心態,xīn tài,attitude (of the heart); state of one's psyche; way of thinking; mentality
说出,說出,shuō chū,to speak out; to declare (one's view)
这么,這麼,zhè me,so much; this much; how much?; this way; like this
解释,解釋,jiě shì,explanation; to explain; to interpret; to resolve; Classifiers: 个
混乱,混亂,hùn luàn,confusion; chaos; disorder
其实,其實,qí shí,actually; in fact; really
菩提树,菩提樹,pú tí shù,pipal tree (Ficus religiosa); bo fig tree; Bodhi tree (sacred to Buddhism and Hinduism)
开,開,kāi,"to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle); carat (gold); abbr. for Kelvin, 开尔文 , book format"
一下,,yī xià,(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once
四十九年,,sì shí jiǔ nián,
提高,,tí gāo,to raise; to increase; to improve
每,,měi,each; every
刚刚,剛剛,gāng gang,just recently; just a moment ago
不对,不對,bú duì,incorrect; wrong; amiss; abnormal; queer
发现,發現,fā xiàn,to find; to discover
等,,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
升华,升華,shēng huá,to sublimate; sublimation (physics); to raise to a higher level; to refine; promotion
认识,認識,rèn shi,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition
每一,,měi yī,every
体现,體現,tǐ xiàn,to embody; to reflect; to incarnate
高一,,gāo yī,
法比,,fǎ bǐ,
接近,,jiē jìn,to approach; to get close to
牟尼还,牟尼還,móu ní hái,
一辈子,一輩子,yī bèi zi,(for) a lifetime
理解,,lǐ jiě,to comprehend; to understand; comprehension; understanding
晚年,,wǎn nián,one's later years
呀,,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)"
最终,最終,zuì zhōng,final; ultimate
后人,後人,hòu rén,later generation
不变,不變,bù biàn,constant; unvarying; (math.) invariant
那样,那樣,nà yàng,that kind; that sort
以下,,yǐ xià,that level or lower; that amount or less; the following
向,"嚮, 曏",xiàng,surname Xiang; towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; to tend toward; to guide; variant of 向 ; variant of 向 ; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly
突破,,tū pò,to break through; to make a breakthrough; to surmount or break the back of (a task etc); (of ball sports) to break through a defense
义,義,yì,"justice; righteousness; meaning; foster (father etc); adopted; artificial (tooth, limb etc); relationship; friendship"
层,層,céng,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)
次,,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time"
作用,,zuò yòng,"to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; Classifiers: 个"
一直,,yī zhí,straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along
保持,,bǎo chí,to keep; to maintain; to hold; to preserve
偏见,偏見,piān jiàn,prejudice
极端,極端,jí duān,extreme
错误,錯誤,cuò wù,error; mistake; Classifiers: 个 ; mistaken; false; wrong
如何,,rú hé,how; what way; what
啊,,ā,interjection of surprise; Ah!; Oh!
故事,,gù shì,old practice; Classifiers: 个
上天,,shàng tiān,Heaven; Providence; God; the day before; the sky above; to fly to the sky; to take off and fly into space; to die; to pass away
天国,天國,tiān guó,Kingdom of Heaven
面的,麵的,miàn dī,abbr. of 面包车的士 ; minivan taxi
金刚,金剛,jīn gāng,"King Kong; diamond; (used to translate Sanskrit ""vajra"", a thunderbolt or mythical weapon); guardian deity (in Buddhist iconography)"
经,經,jīng,surname Jing; classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 经济
字,,zì,letter; symbol; character; word; Classifiers: 个 ; courtesy or style name traditionally given to males aged 20 in dynastic China
意义,意義,yì yì,sense; meaning; significance; importance; Classifiers: 个
金,,jīn,surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234); gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight ancient musical instruments 八音
刚,剛,gāng,hard; firm; strong; just; barely; exactly
极乐世界,極樂世界,jí lè shì jiè,paradise (mainly Buddhist); Elysium; (Budd.) Sukhavati
经书,經書,jīng shū,classic books in Confucianism; scriptures; sutras
简直,簡直,jiǎn zhí,simply; at all; practically
面目皆非,,miàn mù jiē fēi,to change completely in appearance (idiom)
回事,,huí shì,(old) to report to one's master
不但,,bù dàn,not only (... but also...)
全都,,quán dōu,all; without exception
同一,,tóng yī,identical; the same
显现,顯現,xiǎn xiàn,appearance; to appear
起,,qǐ,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group"
小册子,小冊子,xiǎo cè zi,booklet; pamphlet; leaflet; information sheet; menu; Classifiers: 本
西方,,xī fāng,the West; the Occident; Western countries
游记,遊記,yóu jì,travel notes
打坐,,dǎ zuò,to sit in meditation; to meditate
元神,,yuán shén,primordial spirit; fundamental essence of life
景象,,jǐng xiàng,scene; sight (to behold)
转,轉,zhuàn,"to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions"
天,,tiān,day; sky; heaven
回到,,huí dào,to return to
人间,人間,rén jiān,the human world; the earth
六年,,liù nián,
不够,不夠,bù gòu,not enough; insufficient; inadequate
佛法,,fó fǎ,Dharma (the teachings of the Buddha); Buddhist doctrine
衡量,,héng liáng,to weigh; to examine; to consider
好坏,好壞,hǎo huài,good or bad; good and bad; standard; quality
唯一,,wéi yī,only; sole
标准,標準,biāo zhǔn,(an official) standard; norm; criterion; Classifiers: 个
探讨,探討,tàn tǎo,to investigate; to probe
二千五,,èr qiān wǔ,
百,,bǎi,surname Bai; hundred; numerous; all kinds of
年前,,nián qián,...years ago
极,極,jí,"extremely; pole (geography, physics); utmost; top"
那种,那種,nà zhǒng,that; that kind of; that sort of; that type of
原始社会,原始社會,yuán shǐ shè huì,primitive society
脱胎,脫胎,tuō tāi,"born; to emerge from the womb; fig. to develop out of sth else (of ideas, stories, political systems etc); fig. to shed one's body (to be reborn); bodiless (e.g. lacquerware)"
单一,單一,dān yī,single; only; sole
末,,mò,tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man
时期,時期,shí qī,period; phase; Classifiers: 个
用,,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore
自,,zì,self; oneself; from; since; naturally; surely
何况,何況,hé kuàng,let alone; to say nothing of; besides; what's more
当时,當時,dāng shí,then; at that time; while
针对,針對,zhēn duì,to target; to focus on; to be aimed at or against; in response to
情况,情況,qíng kuàng,circumstances; state of affairs; situation; Classifiers: 个
永远,永遠,yǒng yuǎn,forever; eternal
发展,發展,fā zhǎn,development; growth; to develop; to grow; to expand
越来越,越來越,yuè lái yuè,more and more
复杂,複雜,fù zá,complicated; complex
不容,,bù róng,must not; cannot; to not allow; cannot tolerate
易使人,,yì shǐ rén,
概括,,gài kuò,to summarize; to generalize; briefly; Classifiers: 个
小小,,xiǎo xiǎo,very small; very few; very minor
部,,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc"
份,,fèn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分"
民间,民間,mín jiān,among the people; popular; folk; non-governmental; involving people rather than governments
流传,流傳,liú chuán,to spread; to circulate; to hand down
历代,歷代,lì dài,successive generations; successive dynasties; past dynasties
单传着,單傳著,dān chuán zhe,
各个,各個,gè gè,"every; various; separately, one by one"
牟尼也,,móu ní yě,
八万四千,八萬四千,bā wàn sì qiān,
净土,淨土,jìng tǔ,"(Buddhism) Pure Land, usually refers to Amitabha Buddha's Western Pure Land of Ultimate Bliss (Sukhavati in Sanskrit)"
天台,,tiān tāi,"Mt Tiantai near Shaoxing 绍兴 in Zhejiang, the center of Tiantai Buddhism 天台宗 ; Tiantai county in Taizhou 台州 , Zhejiang"
华严,華嚴,huá yán,
密宗,,mì zōng,Vajrayana; Tantric Buddhism; tantra
十几,十幾,shí jǐ,more than ten; a dozen or more
本人,,běn rén,the person himself; I (humble form used in speeches); oneself; myself; in person; personal
传出,傳出,chuán chū,to transmit outwards; to disseminate; efferent (nerve)
接受,,jiē shòu,to accept; to receive
能力,,néng lì,capability; ability; Classifiers: 个
表现,表現,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior
庞杂,龐雜,páng zá,enormously complex; a vast jumble
空气,空氣,kōng qì,air; atmosphere
微粒,,wēi lì,speck; particle
石头,石頭,shí tou,stone; Classifiers: 块
木头,木頭,mù tou,"slow-witted; blockhead; log (of wood, timber etc); Classifiers: 块"
土,,tǔ,Tu (ethnic group); surname Tu; earth; dust; clay; local; indigenous; crude opium; unsophisticated; one of the eight ancient musical instruments 八音
钢铁,鋼鐵,gāng tiě,steel
一切,,yī qiè,everything; every; all
古代,,gǔ dài,ancient times; olden times
五行,,wǔ xíng,"five phases of Chinese philosophy: wood 木 , fire 火 , earth 土 , metal 金 , water 水"
万事,萬事,wàn shì,all things
万物,萬物,wàn wù,all living things
具体,具體,jù tǐ,concrete; definite; specific
果,菓,guǒ,fruit; result; resolute; indeed; if really; variant of 果 ; fruit
位,,wèi,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)
铺,鋪,pū,to spread; to display; to set up; (old) holder for door-knocker
开讲,開講,kāi jiǎng,to begin a lecture; to start on a story
高点,高點,gāo diǎn,
金字塔,,jīn zì tǎ,pyramid (building or structure)
形,,xíng,to appear; to look; form; shape
拿人,,ná rén,making things awkward; to cause difficulties; to exert influence; to attract
比喻,,bǐ yù,to compare; to liken to; metaphor; analogy; figure of speech; figuratively
道家,,dào jiā,"Daoist School of the Warring States Period (475-221 BC), based on the teachings of Laozi or Lao-tze 老子 (c. 500 BC-) and Zhuangzi 庄子 (369-286 BC)"
视为,視為,shì wéi,to view as; to see as; to consider to be; to deem
脾气,脾氣,pí qi,character; temperament; disposition; bad temper; Classifiers: 个
秉性,,bǐng xìng,innate character; natural disposition; attitude
独立,獨立,dú lì,independent; independence; to stand alone
带有,帶有,dài yǒu,to have; to involve
自我,,zì wǒ,self-; ego (psychology)
个性,個性,gè xìng,individuality; personality
银河系,銀河系,yín hé xì,Milky Way Galaxy; the galaxy (our galaxy)
其它,,qí tā,other; the others; else; other than it; in addition to the thing mentioned above
星,,xīng,star; heavenly body; satellite; small amount
系,繫,jì,to tie; to fasten; to button up
水,,shuǐ,surname Shui; water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes
一方面,,yī fāng miàn,on the one hand
包含,,bāo hán,to contain; to embody; to include
极小,極小,jí xiǎo,minimal; extremely small
与,與,yǔ,and; to give; together with
德,,dé,Germany; German; abbr. for 德国 ; virtue; goodness; morality; ethics; kindness; favor; character; kind
道德,,dào dé,virtue; morality; ethics; Classifiers: 种
水准,水準,shuǐ zhǔn,level (of achievement etc); standard; level (surveying)
扭曲,,niǔ qū,to twist; to warp; to distort
雷锋,雷鋒,léi fēng,"Lei Feng (1940-1962), made into a model of altruism and dedication to the Party by propaganda from 1963 onwards"
精神病,,jīng shén bìng,mental disorder; psychosis
六十年代,,liù shí nián dài,the sixties; the 1960s
道,,dào,"road; path; Classifiers: 条 ,股 ; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) administrative division (similar to province in Tang times)"
滑坡,,huá pō,rockslide; landslip; landslide; mudslide; fig. slump; downturn; to decline
世风日下,世風日下,shì fēng rì xià,public morals are degenerating with each passing day (idiom)
唯利是图,唯利是圖,wéi lì shì tú,to seek nothing but profit (idiom); personal profit before everything; self-seeking
